Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,HCAHPS Answer Percent,HCAHPS Answer Percent Footnote,HCAHPS Linear Mean Value,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate Percent,Survey Response Rate Percent Footnote,Start Date,End Date
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_DOCTOR_RESPECT_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never""  treated them with courtesy and respect","Doctors ""sometimes"" or ""never"" treated them with courtesy and  respect",Not Applicable,,5,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_DOCTOR_RESPECT_U_P,"Patients who reported that their doctors ""Usually""  treated them with courtesy and respect","Doctors ""usually""  treated them with courtesy and  respect",Not Applicable,,15,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_DOCTOR_LISTEN_A_P,"Patients who reported that their doctors ""Always"" listened carefully to them","Doctors ""always"" listened carefully",Not Applicable,,70,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_DOCTOR_LISTEN_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" listened carefully to them","Doctors ""sometimes"" or ""never"" listened carefully",Not Applicable,,8,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_DOCTOR_LISTEN_U_P,"Patients who reported that their doctors ""Usually"" listened carefully to them","Doctors ""usually"" listened carefully",Not Applicable,,22,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_DOCTOR_EXPLAIN_A_P,"Patients who reported that their doctors ""Always"" explained things in a way they could understand","Doctors ""always"" explained things so they could understand",Not Applicable,,68,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_DOCTOR_EXPLAIN_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" explained things in a way they could understand","Doctors ""sometimes"" or ""never"" explained things so they could understand",Not Applicable,,9,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_DOCTOR_EXPLAIN_U_P,"Patients who reported that their doctors ""Usually"" explained things in a way they could understand","Doctors ""usually"" explained things so they could understand",Not Applicable,,23,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",Not Applicable,,51,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_COMP_5_SN_P,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",Not Applicable,,26,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_COMP_5_U_P,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",Not Applicable,,23,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_COMP_5_LINEAR_SCORE,Communication about medicines - linear mean score,Communication about medicines - linear mean score,Not Applicable,,Not Applicable,,72,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,2,,Not Applicable,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_MED_FOR_A_P,"Patients who reported that when receiving new medication the staff ""Always"" communicated what the medication was for","Staff ""always"" explained new medications",Not Applicable,,68,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_MED_FOR_SN_P,"Patients who reported that when receiving new medication the staff ""Sometimes"" or ""Never"" communicated what the medication was for","Staff ""sometimes"" or ""never"" explained new medications",Not Applicable,,13,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_MED_FOR_U_P,"Patients who reported that when receiving new medication the staff ""Usually"" communicated what the medication was for.","Staff ""usually"" explained new medications",Not Applicable,,19,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_SIDE_EFFECTS_A_P,"Patients who reported that when receiving new medication the staff ""Always"" discussed possible side effects","Staff ""always"" explained possible side effects",Not Applicable,,35,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_SIDE_EFFECTS_SN_P,"Patients who reported that when receiving new medication the staff ""Sometimes"" or ""Never"" discussed possible side effects","Staff ""sometimes"" or ""never"" explained possible side effects",Not Applicable,,39,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_SIDE_EFFECTS_U_P,"Patients who reported that when receiving new medication the staff ""Usually"" discussed possible side effects","Staff ""usually"" explained possible side effects",Not Applicable,,26,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_COMP_6_N_P,"Patients who reported that NO, they were not given information about what to do during their recovery at home","No, staff ""did not"" give patients this information",Not Applicable,,14,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",Not Applicable,,86,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_COMP_6_LINEAR_SCORE,Discharge information - linear mean score,Discharge information - linear mean score,Not Applicable,,Not Applicable,,86,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3,,Not Applicable,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_DISCH_HELP_N_P,"Patients who reported that NO, they did not discuss whether they would need help after discharge","No, staff ""did not"" give patients information about help after discharge",Not Applicable,,16,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_DISCH_HELP_Y_P,"Patients who reported that YES, they did discuss whether they would need help after discharge","Yes, staff ""did"" give patients information about help after discharge",Not Applicable,,84,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_SYMPTOMS_N_P,"Patients who reported that NO, they did not receive written information about possible symptoms to look out for after discharge","No, staff ""did not"" give patients information about possible symptoms",Not Applicable,,12,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_SYMPTOMS_Y_P,"Patients who reported that YES, they did receive written information about possible symptoms to look out for after discharge","Yes, staff ""did"" give patients information about possible symptoms",Not Applicable,,88,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",Not Applicable,,58,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_CLEAN_HSP_SN_P,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",Not Applicable,,17,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_CLEAN_HSP_U_P,"Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",Not Applicable,,25,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_CLEAN_LINEAR_SCORE,Cleanliness - linear mean score,Cleanliness - linear mean score,Not Applicable,,Not Applicable,,79,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,2,,Not Applicable,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",Not Applicable,,41,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_QUIET_HSP_SN_P,"Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",Not Applicable,,22,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_QUIET_HSP_U_P,"Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",Not Applicable,,37,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_QUIET_LINEAR_SCORE,Quietness - linear mean score,Quietness - linear mean score,Not Applicable,,Not Applicable,,72,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,2,,Not Applicable,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_HSP_RATING_0_6,Patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",Not Applicable,,11,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_HSP_RATING_7_8,Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",Not Applicable,,26,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",Not Applicable,,63,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,Overall hospital rating - linear mean score,Not Applicable,,Not Applicable,,85,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,3,,Not Applicable,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_RECMND_DN,"Patients who reported NO, they would probably not or definitely not recommend the hospital","""NO"", patients would not recommend the hospital (they probably would not or definitely would not recommend it)",Not Applicable,,7,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",Not Applicable,,66,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_RECMND_PY,"Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",Not Applicable,,27,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_RECMND_LINEAR_SCORE,Recommend hospital - linear mean score,Recommend hospital - linear mean score,Not Applicable,,Not Applicable,,86,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,3,,Not Applicable,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_STAR_RATING,Summary star rating,Summary star rating,3,,Not Applicable,,Not Applicable,3562,,24,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,58,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",Not Applicable,,17,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",Not Applicable,,25,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,Nurse communication - linear mean score,Not Applicable,,Not Applicable,,79,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,1,,Not Applicable,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_NURSE_RESPECT_A_P,"Patients who reported that their nurses ""Always"" treated them with courtesy and respect","Nurses ""always"" treated them with courtesy and  respect",Not Applicable,,68,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_NURSE_RESPECT_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never""  treated them with courtesy and respect","Nurses ""sometimes"" or ""never"" treated them with courtesy and  respect",Not Applicable,,13,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_NURSE_RESPECT_U_P,"Patients who reported that their nurses ""Usually""  treated them with courtesy and respect","Nurses ""usually""  treated them with courtesy and  respect",Not Applicable,,19,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_NURSE_LISTEN_A_P,"Patients who reported that their nurses ""Always"" listened carefully to them","Nurses ""always"" listened carefully",Not Applicable,,53,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_NURSE_LISTEN_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" listened carefully to them","Nurses ""sometimes"" or ""never"" listened carefully",Not Applicable,,18,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_NURSE_LISTEN_U_P,"Patients who reported that their nurses ""Usually"" listened carefully to them","Nurses ""usually"" listened carefully",Not Applicable,,29,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_NURSE_EXPLAIN_A_P,"Patients who reported that their nurses ""Always"" explained things in a way they could understand","Nurses ""always"" explained things so they could understand",Not Applicable,,53,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_NURSE_EXPLAIN_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" explained things in a way they could understand","Nurses ""sometimes"" or ""never"" explained things so they could understand",Not Applicable,,20,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_NURSE_EXPLAIN_U_P,"Patients who reported that their nurses ""Usually"" explained things in a way they could understand","Nurses ""usually"" explained things so they could understand",Not Applicable,,27,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",Not Applicable,,63,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_COMP_2_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",Not Applicable,,16,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",Not Applicable,,21,,Not Applicable,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_COMP_2_LINEAR_SCORE,Doctor communication - linear mean score,Doctor communication - linear mean score,Not Applicable,,Not Applicable,,81,163,,11,,04/01/2024,03/31/2025
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,1,,Not Applicable,,Not Applicable,163,,11,,04/01/2024,03/31/2025
